id,status,region,amount,cust_id,product,updated_at
1,active,North,150.50,C001,Laptop,2026-03-25T10:00:00
2,active,South,1200.00,C002,Phone,2026-03-25T11:00:00
3,inactive,East,45.00,C003,Headphones,2026-03-25T12:00:00
4,active,West,300.25,C004,Monitor,2026-03-25T13:00:00
5,active,North,89.99,C001,Mouse,2026-03-25T14:00:00
6,active,North,12.50,C005,Cables,2026-03-25T15:00:00
7,active,South,450.00,C006,Tablet,2026-03-25T16:00:00
8,inactive,West,10.00,C004,Sticker,2026-03-25T17:00:00
9,active,East,999.00,C007,Desktop,2026-03-25T18:00:00
10,active,North,250.00,C008,Keyboard,2026-03-25T19:00:00
11,active,South,55.00,C002,Charger,2026-03-26T08:00:00
12,active,North,120.00,C001,Webcam,2026-03-26T08:30:00
13,active,East,35.00,C003,Mousepad,2026-03-26T09:00:00
14,active,West,500.00,C004,Chair,2026-03-26T09:15:00
15,active,North,1500.00,C009,Server,2026-03-26T09:30:00
16,active,South,25.00,C006,Case,2026-03-26T09:45:00
17,inactive,North,0.00,C010,MockItem,2026-03-26T10:00:00
18,active,East,210.00,C011,Router,2026-03-26T10:15:00
19,active,West,80.00,C012,Hub,2026-03-26T10:30:00
20,active,North,60.00,C001,Backpack,2026-03-26T10:45:00
